AMD; AM27128 (21V);DIP Version;737;
AMD; AM27128A (12.5V);DIP Version;738;0x0: 0x1, 0x1: 0x89
AMD; AM27128A (12.5V);PLCC Version;739;0x0: 0x1, 0x1: 0x89
AMD; AM2716 (25V);DIP Version;6111;
AMD; AM2716B (12.5V);DIP Version;4630;0x0: 0x1, 0x1: 0x86
AMD; AM27256 (13V);DIP Version;744;0x0: 0x1, 0x1: 0x4
AMD; AM27256 (13V);PLCC Version;745;0x0: 0x1, 0x1: 0x4
AMD; AM2732 (25V);DIP Version;2186;
AMD; AM2732A (21V);DIP Version;774;
AMD; AM2732B (12.5V);DIP Version;748;0x0: 0x1, 0x1: 0x7
AMD; AM2732B (12.5V);PLCC Version;749;0x0: 0x1, 0x1: 0x7
AMD; AM27512 (13V);DIP Version;1223;0x0: 0x1, 0x1: 0x85
AMD; AM2764 (12.5V);DIP Version;3541;
AMD; AM2764 (12.5V);PLCC Version;3542;
AMD; AM2764A (12.5V);DIP Version;746;
AMD; AM2764A (12.5V);PLCC Version;747;
AMD; AM27C010;DIP Version;600;0x0: 0x1, 0x1: 0xE
AMD; AM27C010;PLCC Version;601;0x0: 0x1, 0x1: 0xE
AMD; AM27C020;DIP Version;731;0x0: 0x1, 0x1: 0x97
AMD; AM27C020;PLCC 32 Version;750;0x0: 0x1, 0x1: 0x97
AMD; AM27C040;DIP Version;582;0x0: 0x1, 0x1: 0x9B
AMD; AM27C040;PLCC Version;583;0x0: 0x1, 0x1: 0x9B
AMD; AM27C080;DIP Version;751;
AMD; AM27C080;PLCC Version;752;
AMD; AM27C1024;DIP Version;755;0x0: 0x1, 0x1: 0x8C
AMD; AM27C1024;PLCC Version;756;0x0: 0x1, 0x1: 0x8C
AMD; AM27C128;DIP Version;758;0x0: 0x1, 0x1: 0x16
AMD; AM27C128;PLCC Version;759;0x0: 0x1, 0x1: 0x16
AMD; AM27C2048;DIP Version;760;0x0: 0x1, 0x1: 0x98
AMD; AM27C2048;PLCC Version;761;0x0: 0x1, 0x1: 0x98
AMD; AM27C256;DIP Version;628;0x0: 0x1, 0x1: 0x10
AMD; AM27C256;PLCC Version;629;0x0: 0x1, 0x1: 0x10
AMD; AM27C400;DIP 40 Version;3830;0x0: 0x1, 0x1: 0x9D
AMD; AM27C400;PLCC 44 Version;3831;0x0: 0x1, 0x1: 0x9D
AMD; AM27C4096;DIP Version;925;0x0: 0x1, 0x1: 0x19
AMD; AM27C4096;PLCC Version;926;0x0: 0x1, 0x1: 0x19
AMD; AM27C512;DIP Version;613;0x0: 0x1, 0x1: 0x91
AMD; AM27C512;PLCC Version;614;0x0: 0x1, 0x1: 0x91
AMD; AM27C64;DIP Version;913;0x0: 0x1, 0x1: 0x15
AMD; AM27C64;PLCC Version;914;0x0: 0x1, 0x1: 0x15
AMD; AM27H010;DIP Version;767;0x0: 0x1, 0x1: 0xE
AMD; AM27H010;PLCC Version;768;0x0: 0x1, 0x1: 0xE
AMD; AM27H256;DIP Version;812;0x0: 0x1, 0x1: 0x10
AMD; AM27H256;PLCC Version;813;0x0: 0x1, 0x1: 0x10
AMD; AM27LV010;DIP Version;814;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010;PLCC Version;815;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010;TSOP Version;816;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;DIP Version;819;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;PLCC Version;820;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;TSOP Version;821;0x0: 0x1, 0x1: 0xE
AMD; AM27LV020;DIP Version;817;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020;PLCC 32 Version;818;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020B;DIP Version;822;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020B;PLCC 32 Version;823;0x0: 0x1, 0x1: 0x97
AMD; AM2864AE;DIP Version;2835;0x0: 0x1, 0x1: 0x8A
AMD; AM2864AE;PLCC Version;2836;0x0: 0x1, 0x1: 0x8A
AMD; AM28F010;DIP Version;1159;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;PLCC Version;1160;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;TSOP Reverse Version;1161;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;TSOP Version;1162;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010A;DIP Version;1163;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;PLCC Version;1164;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;TSOP Reverse Version;1165;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;TSOP Version;1166;0x0: 0x1, 0x1: 0xA2
AMD; AM28F020;DIP Version;1167;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;PLCC Version;1168;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;TSOP Reverse Version;1169;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;TSOP Version;1170;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020A;DIP Version;1171;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;PLCC Version;1172;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;TSOP Reverse Version;1173;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;TSOP Version;1174;0x0: 0x1, 0x1: 0x29
AMD; AM28F256;DIP Version;2238;0x0: 0x1, 0x1: 0xA1
AMD; AM28F256;PLCC Version;2239;0x0: 0x1, 0x1: 0xA1
AMD; AM28F256;TSOP 32 (8x20mm) Version;2240;0x0: 0x1, 0x1: 0xA1
AMD; AM28F512;DIP Version;1175;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;PLCC Version;1176;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;TSOP Reverse Version;1177;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;TSOP Version;1178;0x0: 0x1, 0x1: 0x25
AMD; AM28F512A;DIP Version;1179;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;PLCC Version;1180;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;TSOP Reverse Version;1181;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;TSOP Version;1182;0x0: 0x1, 0x1: 0xAE
AMD; AM29F002BB;DIP Version;188;0x0: 0x1, 0x1: 0x34
AMD; AM29F002BB;PLCC Version;189;0x0: 0x1, 0x1: 0x34
AMD; AM29F002BB;TSOP Version;190;0x0: 0x1, 0x1: 0x34
AMD; AM29F002BT;DIP Version;184;0x0: 0x1, 0x1: 0xB0
AMD; AM29F002BT;PLCC Version;185;0x0: 0x1, 0x1: 0xB0
AMD; AM29F002BT;TSOP Version;186;0x0: 0x1, 0x1: 0xB0
AMD; AM29F002NBB;DIP Version;194;0x0: 0x1, 0x1: 0x34
AMD; AM29F002NBB;PLCC Version;195;0x0: 0x1, 0x1: 0x34
AMD; AM29F002NBB;TSOP Version;196;0x0: 0x1, 0x1: 0x34
AMD; AM29F002NBT;DIP Version;191;0x0: 0x1, 0x1: 0xB0
AMD; AM29F002NBT;PLCC Version;192;0x0: 0x1, 0x1: 0xB0
AMD; AM29F002NBT;TSOP Version;193;0x0: 0x1, 0x1: 0xB0
